sep=,
SMILES,Catalog ID,MW,MW (desalted),ClogP,logS,HBD,HBA,TPSA,RotBonds,AnalogsFromREAL
O=C(O)C=1C=CC=CC1C(=O)C=2C=CC(F)=CC2,Z111456674,244.218,244.218,2.557,-4.18,1,3,54.37,3,https://real.enamine.net/public-enum-files/Z111456674
O=C(O)CN1C=2C=CC=CC2C(=O)C=3C=CC=CC31,Z57473348,253.253,253.253,1.314,-3.35,1,4,57.61,2,https://real.enamine.net/public-enum-files/Z57473348
O=C(NO)C=1C=CC=CC1O,Z57842350,153.136,153.136,0.877,-1.04,3,3,69.56,2,https://real.enamine.net/public-enum-files/Z57842350
O=C1CNC(=O)N1,Z57131035,100.076,100.076,-1.691,0.26,2,2,58.2,0,https://real.enamine.net/public-enum-files/Z57131035
CC=1C=CC(N)=NC1,Z104475374,108.141,108.141,0.817,-0.86,1,2,38.91,0,https://real.enamine.net/public-enum-files/Z104475374
O=C(O)C=1C=NC=CN1,Z104476002,124.098,124.098,0.1,0.52,1,4,63.08,1,https://real.enamine.net/public-enum-files/Z104476002
C1=NOC=2C=CC=CC12,Z220335556,119.121,119.121,1.505,-1.48,0,1,26.03,0,https://real.enamine.net/public-enum-files/Z220335556
OCC=1C=CC=CC1Br,Z335245004,187.034,187.034,1.967,-2.07,1,1,20.23,1,https://real.enamine.net/public-enum-files/Z335245004
C1=NNC=2C=CC=CC12,Z276614452,118.136,118.136,1.625,-1.93,1,1,28.68,0,https://real.enamine.net/public-enum-files/Z276614452
NC(=O)C=1C=CC=CC1N,Z57036632,136.152,136.152,0.348,-1.39,2,2,69.11,1,https://real.enamine.net/public-enum-files/Z57036632
NC(=O)C1=CC=CC(N)=C1,Z118530082,136.152,136.152,-0.252,-1.39,2,2,69.11,1,https://real.enamine.net/public-enum-files/Z118530082
CC1=NC=2C=CC=CC2N1,Z55692894,132.163,132.163,1.834,-1.68,1,1,28.68,0,https://real.enamine.net/public-enum-files/Z55692894
O=C(O)COC1CCCC1,Z316258762,144.169,144.169,1.081,-0.63,1,3,46.53,3,https://real.enamine.net/public-enum-files/Z316258762
N#CC=1C=CC(O)=CC1F,Z1157728598,137.111,137.111,1.844,-1.57,1,2,44.02,0,https://real.enamine.net/public-enum-files/Z1157728598
O=C1CC=2C=CC(Cl)=CC2N1,Z56922083,167.592,167.592,1.678,-1.93,1,1,29.1,0,https://real.enamine.net/public-enum-files/Z56922083
NC=1C=C(F)C=CC1C(=O)O,Z106939542,155.127,155.127,1.478,-1.63,2,3,63.32,1,https://real.enamine.net/public-enum-files/Z106939542
NC(=O)C=1C=C(Cl)C=CC1N,Z239125320,170.596,170.596,1.209,-2.17,2,2,69.11,1,https://real.enamine.net/public-enum-files/Z239125320
O=C1NC=2C=CC=CC2C1=O,Z57127903,147.131,147.131,0.828,-2.05,1,2,46.17,0,https://real.enamine.net/public-enum-files/Z57127903
NC=1C=CC(=CC1O)C(=O)O,Z431554234,153.136,153.136,0.796,-0.95,3,4,83.55,1,https://real.enamine.net/public-enum-files/Z431554234
