sep=,
SMILES,Catalog ID,MW,MW (desalted),ClogP,logS,HBD,HBA,TPSA,RotBonds,AnalogsFromREAL
CCN(C(=O)C1=CC=C(C)S1)C2CC(=O)NC2=O,Z978967384,266.318,266.318,1.677,-3.199,1,3,66.48,4,https://real.enamine.net/public-enum-files/Z978967384
CC=1N=C(N=C(SCCN2C=CC=N2)C1C#N)C3CC3,Z821316054,285.369,285.369,1.958,-2.29,0,4,67.39,5,https://real.enamine.net/public-enum-files/Z821316054
CC=1N=C(S)SC1CC(=O)N(CC=2C=CC=NC2)C3CC3,Z192977142,319.448,319.448,1.412,-3.023,1,3,46.09,6,https://real.enamine.net/public-enum-files/Z192977142
CC=1N=C(Cl)C=CC1CC(=O)NC=2C=CN(CCN(C)C)N2,Z1525097808,321.806,321.806,1.227,-2.142,1,4,63.05,7,https://real.enamine.net/public-enum-files/Z1525097808
CC(NC(=O)C1=CSN=N1)C(C)(C)CN(C)C,Z1381579509,256.369,256.369,1.059,-1.449,1,4,58.12,6,https://real.enamine.net/public-enum-files/Z1381579509
CC(C)C1=NN(C)C(Cl)=C1C(=O)NCC2CCOCO2,Z1451035867,301.769,301.769,-0.341,-2.83,1,4,65.38,5,https://real.enamine.net/public-enum-files/Z1451035867
CC(C)CN1CCN(CN2N=C(OC2=O)C=3C=CC(F)=CC3)CC1,Z197930006,334.389,334.389,2.256,-3.224,0,4,48.38,5,
O=C1OC=2C=CC=CC2N1CN3CCSCC3,Z730351694,250.318,250.318,2.139,-2.367,0,3,32.78,2,
O=C(NC=1C=NNC1)C=2CC(ON2)C=3C=CC=CC3,Z730695908,256.261,256.261,1.48,-2.8,2,4,79.37,4,https://real.enamine.net/public-enum-files/Z730695908
CCONC(=O)C1=CC=2SC(=NC2S1)N(CC)CC,Z730677976,299.415,299.415,3.083,-4.523,1,4,54.46,7,https://real.enamine.net/public-enum-files/Z730677976
CCN1C=C(C(=O)NC2CCS(=O)(=O)C2)C=3C=CC=CC31,Z118394074,306.382,306.382,0.955,-2.541,1,3,68.17,4,https://real.enamine.net/public-enum-files/Z118394074
CC1=CSC2=NC(=CC(=O)N12)CN3C(=O)C(=O)N(C3=O)C(C)C,Z214803306,334.352,334.352,0.245,-3.593,0,5,90.36,3,https://real.enamine.net/public-enum-files/Z214803306
CC1COCCN1CC2=NOC(=N2)C3=CC=CO3,Z369755088,249.266,249.266,1.244,-1.25,0,4,64.53,3,https://real.enamine.net/public-enum-files/Z369755088
CC1C(=O)N(CC2=CSC(Br)=C2)C(=O)C1C,Z1347746779,302.189,302.189,2.561,-4.084,0,2,37.38,2,
CCC1=NC(=CS1)CN2CCCC(C2)C(=O)NC3=NC=CS3,Z751700432,336.478,336.478,2.418,-2.48,1,4,58.12,6,https://real.enamine.net/public-enum-files/Z751700432
CCC1CN(CCO1)C(=O)C2=CC(=NC3=C2C(C)=NN3C)C(C)C,Z383187038,330.425,330.425,2.23,-3.63,0,4,60.25,4,https://real.enamine.net/public-enum-files/Z383187038
O=C(CC(F)(F)F)NC(C=1C=CC(F)=CC1)C2CC2,Z1155265278,275.243,275.243,2.639,-3.59,1,1,29.1,6,https://real.enamine.net/public-enum-files/Z1155265278
CN(C)C(=O)CC1=NC(=CS1)CSC2=CC=CS2,Z1222471728,298.451,298.451,1.123,-3.236,0,2,33.2,6,https://real.enamine.net/public-enum-files/Z1222471728
CS(=O)(=O)C=1C=CC(=CC1)C2=NN=C(S2)C3CC=CCC3,Z732626872,320.433,320.433,2.122,-4,0,4,59.92,3,
O=C(NCC(F)(F)F)C1(CC1)C=2C=CC=C(C2)C(F)(F)F,Z1066649798,311.223,311.223,2.71,-3.816,1,1,29.1,6,https://real.enamine.net/public-enum-files/Z1066649798
CCOC(=O)N1CCC(CC1)NC(=O)C2=CC=C(C)S2,Z32767372,296.387,296.387,2.035,-3.69,1,2,58.64,6,https://real.enamine.net/public-enum-files/Z32767372
CC1=NC(CNS(=O)(=O)N2CC(C)OC(C)C2)=C(C)S1,Z1527256987,319.446,319.446,2.523,-1.91,1,5,71.53,4,https://real.enamine.net/public-enum-files/Z1527256987
CC1=CC=C(C=CC(=O)NC=2C=NN(C2)CC3CCCO3)O1,Z771098916,301.341,301.341,2.199,-2.16,1,3,69.29,6,https://real.enamine.net/public-enum-files/Z771098916
CC1=CC(C(=O)NNC(=O)CC2=CSC(C)=N2)=C(C)O1,Z32991292,293.343,293.343,0.756,-2.08,2,3,84.23,6,https://real.enamine.net/public-enum-files/Z32991292
CC=1N=C(S)SC1CC(=O)NCCN2CCC=3C=CC=CC3C2,Z357366620,347.501,347.501,2.791,-3.431,2,3,45.23,6,https://real.enamine.net/public-enum-files/Z357366620
CC(C)C(=O)NNC(=O)C=1C=CC(=CC1)OC(F)(F)F,Z44007879,290.239,290.239,2.459,-4.293,2,3,67.43,7,https://real.enamine.net/public-enum-files/Z44007879
COC(=O)NNS(=O)(=O)C=1C=CC=2CCCCC2C1,Z45685399,284.333,284.333,2.13,-3.782,2,3,84.5,5,https://real.enamine.net/public-enum-files/Z45685399
COC(=O)NNS(=O)(=O)C=1C=CC=2CCCC2C1,Z45685404,270.306,270.306,1.571,-3.272,2,3,84.5,5,https://real.enamine.net/public-enum-files/Z45685404
CSC=1N=CC=CC1C(=O)NNC(=O)C2CC2,Z54081739,251.306,251.306,0.588,-2.64,2,3,71.09,6,https://real.enamine.net/public-enum-files/Z54081739
C=CCN1C(=S)N(CN2CC(C)OC(C)C2)N=C1C3=CC=CN=C3,Z44090949,345.464,345.464,1.943,-3.724,0,4,44.2,5,
COCCN1C(C)=CC(C=C2C(=O)N(C)C(=O)N(C)C2=O)=C1C,Z44299320,319.356,319.356,2.277,-1.867,0,4,71.85,4,https://real.enamine.net/public-enum-files/Z44299320
CC1=NN(CC=2C=CC=CC2)C(C)=C1C=C3SC(=S)NC3=O,Z44301775,329.443,329.443,2.413,-4.64,1,2,46.92,3,https://real.enamine.net/public-enum-files/Z44301775
CC1=CC(C=C2C(=O)N(C)C(=O)N(C)C2=O)=C(C)N1CC(C)C,Z44299375,317.384,317.384,3.807,-3.007,0,3,62.62,3,https://real.enamine.net/public-enum-files/Z44299375
N#CCCN1C=C(C=C2SC(=S)NC2=O)C=3C=CC=CC31,Z44301820,313.4,313.4,1.713,-4.851,1,2,57.82,3,https://real.enamine.net/public-enum-files/Z44301820
CC(C)(C)C1=NN=C(CN2N=C(C=C(C2=O)C(F)(F)F)C3CC3)O1,Z734996266,342.317,342.317,0.869,-2.38,0,4,71.59,5,https://real.enamine.net/public-enum-files/Z734996266
CC(=O)N(C1=NN=C(SC(C)C=2C=CC(F)=CC2)S1)C3CC3,Z241702734,337.438,337.438,1.799,-6.065,0,3,46.09,6,https://real.enamine.net/public-enum-files/Z241702734
O=C1C(=CC(=NN1CC2=CC=NO2)C3CC3)C(F)(F)F,Z734999064,285.222,285.222,0.8,-1.96,0,3,58.7,4,https://real.enamine.net/public-enum-files/Z734999064
O=C1C(=CC2=CC=CO2)SC(=S)N1CC3=CC=CO3,Z44372036,291.348,291.348,2.258,-5.28,0,1,46.59,3,https://real.enamine.net/public-enum-files/Z44372036
O=C(O)CCN1C(=O)C(=CC=2C=CSC2)SC1=S,Z44356648,299.393,299.393,1.335,-4.53,1,3,57.61,4,https://real.enamine.net/public-enum-files/Z44356648
CC(C)C1=NC(=CS1)C2=CC=C3C(=C2)CC(C)N3S(C)(=O)=O,Z735544662,336.475,336.475,3.778,-3.763,0,3,50.27,3,
O=C1CC(NC=2C=CC(F)=C(F)C2)C(=O)N1C=3C=CC=C(C3)C(F)(F)F,Z44435280,370.274,370.274,4.484,-5.19,1,3,49.41,4,https://real.enamine.net/public-enum-files/Z44435280
CC(=O)C=1SC=2N=C(CN3CC(C)OC(C)C3)NC(=O)C2C1C,Z44492299,335.423,335.423,1.133,-3.48,1,5,71,3,https://real.enamine.net/public-enum-files/Z44492299
O=S(=O)(CC1=CSC(=N1)C=2C=CC(F)=CC2)CC3CCCO3,Z339937510,341.424,341.424,1.76,-3.447,0,4,56.26,5,https://real.enamine.net/public-enum-files/Z339937510
CC1=NN(C)C(Cl)=C1S(=O)(=O)N2CCCC2C=3C=CN=CC3,Z425579436,340.83,340.83,1.206,-2.316,0,4,68.09,3,https://real.enamine.net/public-enum-files/Z425579436
CN1C(=O)CC(C(=O)NCC(F)F)C1C=2C=CC(Cl)=C(F)C2,Z1528840693,334.722,334.722,2.753,-3.498,1,2,49.41,5,https://real.enamine.net/public-enum-files/Z1528840693
CCOC=1N=CC=CC1CNS(=O)(=O)C=2C=CC=3OCCC3C2,Z355212878,334.392,334.392,2.954,-3.185,1,5,77.52,6,https://real.enamine.net/public-enum-files/Z355212878
O=S(=O)(NCC=1C=CC=C2C=CC=NC12)N3CCCCCC3,Z914286522,319.424,319.424,4.05,-3.171,1,4,62.3,4,https://real.enamine.net/public-enum-files/Z914286522
CC(C)(C)C(C#N)NC(=O)C1COC=2C=CC(Br)=CC21,Z1528975937,337.212,337.212,2.944,-4.184,1,3,62.12,4,https://real.enamine.net/public-enum-files/Z1528975937
CC(=O)N(C)C1=NC(=CS1)CN(CC=2C=CSC2)C3CC3,Z1070515234,321.464,321.464,1.283,-3.13,0,3,36.44,7,https://real.enamine.net/public-enum-files/Z1070515234
COCC1=NC(C)=C(S1)C(=O)N2CC(CC2C)C=3C=CSC3,Z1528646171,336.475,336.475,1.989,-2.85,0,3,42.43,5,https://real.enamine.net/public-enum-files/Z1528646171
CC1(C)CN(CC2=CSC(CS(C)(=O)=O)=N2)CC3=CC=CC=C31,Z1529032630,350.502,350.502,1.539,-1.781,0,4,50.27,4,https://real.enamine.net/public-enum-files/Z1529032630
O=C(NNS(=O)(=O)C=1C=CC(F)=C(F)C1F)C=2C=CC=CC2F,Z45711669,348.274,348.274,1.996,-4.797,2,3,75.27,5,https://real.enamine.net/public-enum-files/Z45711669
CC1=NN(CC=2C=CC=CC2)C(Cl)=C1C=C3SC(=S)NC3=O,Z46045321,349.861,349.861,2.95,-5.867,1,2,46.92,3,https://real.enamine.net/public-enum-files/Z46045321
CN(CC(=O)NC=1C=CC(F)=C(F)C1F)CC=2C=CC=C(F)C2,Z46333009,326.289,326.289,3.242,-4.34,1,2,32.34,5,https://real.enamine.net/public-enum-files/Z46333009
O=C(COCC(F)(F)F)NC=1C=NN(C1)C=2C=CC=CC2F,Z1391762892,317.24,317.24,2.298,-3.19,1,3,56.15,7,https://real.enamine.net/public-enum-files/Z1391762892
CCC=1N=NSC1C(=O)N2CCCN(CC2)C=3C=CC(=CC3)OC,Z739710436,346.449,346.449,1.657,-3.723,0,5,58.56,5,https://real.enamine.net/public-enum-files/Z739710436
CC1=CC(=C(C)S1)C(C)NC(=O)N2CCS(=O)(=O)CC2,Z1124460595,316.442,316.442,1.232,-2.978,1,3,66.48,4,https://real.enamine.net/public-enum-files/Z1124460595
COCC1=NC(=CS1)CSC2=NN=C(C)N2C3CCCCC3,Z1272916272,338.494,338.494,1.989,-3.28,0,4,52.83,6,https://real.enamine.net/public-enum-files/Z1272916272
CCN(C)CC1CCN(C1)C2=CC(Cl)=NC(C)=N2,Z1272662131,268.786,268.786,1.796,-2.699,0,4,32.26,4,https://real.enamine.net/public-enum-files/Z1272662131
O=C(CCC=1C=CC=CC1OC(F)(F)F)N2CCCS2(=O)=O,Z1076353338,337.316,337.316,1.568,-3.624,0,4,63.68,6,https://real.enamine.net/public-enum-files/Z1076353338
CC1=CC=C(C=CC(=O)NC2=NN=C(S2)C(C)(C)C)O1,Z740391314,291.37,291.37,3.684,-3.993,1,3,68.02,5,https://real.enamine.net/public-enum-files/Z740391314
O=S(=O)(NCC1=NC(=NO1)C2CC2)C3=CC=CS3,Z741772922,285.345,285.345,0.898,-2.232,1,4,85.09,5,https://real.enamine.net/public-enum-files/Z741772922
NS(=O)(=O)NCC1=NN(C=2C=CC=CC2)C=3CCCC13,Z741778478,292.358,292.358,1.081,-2.233,2,4,90.01,4,https://real.enamine.net/public-enum-files/Z741778478
CC1=NOC(C)=C1S(=O)(=O)N(CC=2C=CC=C(F)C2)C3CC3,Z741746518,324.372,324.372,2.625,-2.659,0,3,63.41,5,https://real.enamine.net/public-enum-files/Z741746518
CC(C)C=1C=CC(=CC1)CN2CCN(CC2)C(=O)C3=CSN=N3,Z742063110,330.45,330.45,2.434,-3.826,0,4,49.33,5,https://real.enamine.net/public-enum-files/Z742063110
CN(C(=O)C=1OC=CC1COC=2C=CC=CC2)C3CCS(=O)(=O)C3,Z224898976,349.403,349.403,0.531,-3.251,0,4,76.82,6,https://real.enamine.net/public-enum-files/Z224898976
CCN1CCC=2N=C(NC(=O)C=CC3=CC=CS3)SC2C1,Z54081880,319.448,319.448,2.974,-3.96,1,3,45.23,5,https://real.enamine.net/public-enum-files/Z54081880
CCOC=1C=CC(CN2C(=O)CC(CC)(CC)C2=O)=NC1,Z1395273824,290.358,290.358,2.52,-2.86,0,4,59.5,6,https://real.enamine.net/public-enum-files/Z1395273824
CC(C)C1=NSC(=N1)N2CCS(=O)(=O)CC2,Z1378381855,261.367,261.367,0.286,-2.39,0,5,63.16,2,https://real.enamine.net/public-enum-files/Z1378381855
CON=C(C)C=1C=CC(=CC1)S(=O)(=O)C2CCCC2,Z362989124,281.372,281.372,2.633,-3.1,0,4,55.73,4,https://real.enamine.net/public-enum-files/Z362989124
CCC1(CC)CC(=O)N(CC2=NSC(=N2)N(C)C)C1=O,Z1533300169,296.39,296.39,1.46,-3.102,0,5,66.4,5,https://real.enamine.net/public-enum-files/Z1533300169
CC(C)(C)C(=O)NOCC1=CN=C(Cl)S1,Z1533286020,248.731,248.731,1.569,-3.51,1,3,51.22,5,https://real.enamine.net/public-enum-files/Z1533286020
